,type,TP,FP,FN,IOU
0007-page1.png,gray,0.0,1.0,2.0,0.0
0008-page0.png,gray,0.0,1.0,2.0,0.0
0009-page0.png,gray,0.0,1.0,2.0,0.0
0011-page0.png,gray,4.0,2.0,11.0,2.707697106120625
0016-page1.png,gray,4.0,6.0,17.0,2.5323988552702277
0018-page0.png,gray,2.0,1.0,0.0,1.2784368508724748
01._2019-10-01_Email_RE_olo_4605707_Bickersgracht_201-1.png,black,0.0,1.0,10.0,0.0
0516. RE Mails aan de wethouder (Dijksma)_ocr-1.png,black,5.0,0.0,8.0,3.3792867522801866
0516. RE Mails aan de wethouder (Dijksma)_ocr-2.png,black,1.0,0.0,10.0,0.7584269662921348
0527-1.png,black,4.0,3.0,14.0,2.7530115030325684
0680. RE OD - toezicht bouw en woningtoezicht - Grimburgwal(1)_ocr-1.png,black,0.0,1.0,34.0,0.0
0680. RE OD - toezicht bouw en woningtoezicht - Grimburgwal(1)_ocr-3.png,black,1.0,1.0,29.0,0.6324498567335244
0680. RE OD - toezicht bouw en woningtoezicht - Grimburgwal(1)_ocr-4.png,black,2.0,0.0,24.0,1.4038561855680998
0680. RE OD - toezicht bouw en woningtoezicht - Grimburgwal(1)_ocr-6.png,black,0.0,0.0,2.0,0.0
10. Verslag_Staf_Saskia_Groenewoud_1_april_2019 zonder markering-1.png,black,0.0,2.0,22.0,0.0
10. Verslag_Staf_Saskia_Groenewoud_1_april_2019 zonder markering-3.png,black,0.0,0.0,40.0,0.0
122. overleg over Overlast en andere zaken-1.png,black,1.0,8.0,43.0,0.6662665066026411
122. overleg over Overlast en andere zaken-3.png,black,1.0,7.0,15.0,0.6459718309859155
127. RE VVR Brussel-1.png,black,1.0,1.0,13.0,0.8747220634013086
130. mail 14-03-2016 uitbouw_Geredigeerd-1.png,black,3.0,0.0,14.0,1.8980373719379313
19._overleg_4_over_afhandeling-email-2.png,black,1.0,2.0,34.0,0.519301097114994
19._overleg_4_over_afhandeling-email-3.png,black,5.0,2.0,9.0,3.029610439711627
20150508-2028-mail-lezing-aan-hopex_geredigeerd-1.png,black,1.0,0.0,13.0,0.7423904974016332
20150615-1726-inzake-media-verz-int-beraad_geredi-1.png,black,0.0,0.0,20.0,0.0
20180321_bijlage_1_bij_agenda_stuurgroep_conceptverslag_stuurgroep_13122017-1.png,black,1.0,0.0,22.0,0.526292148290112
2019-07-30_Rapportage_van_bevindingen-4.png,no_annotation,0.0,0.0,0.0,0.0
2019-12-20_wob-verzoek_erfpacht_telegraaf_geredigeerd-5.png,black,0.0,0.0,3.0,0.0
20201112_notulen_overleg_Provincie_Staatsbosbeheer_docx43665056_3181b951cf-2.png,black,1.0,6.0,13.0,0.6964882943143813
2021-03-09_FW_Annotatie_Evenementen-1.png,black,1.0,1.0,11.0,0.8822116209630367
292. RE_ te plannen afspraak wethoud met vertegen_-2.png,black,2.0,4.0,41.0,1.5025366769868276
30._B001_Aanvraag_D2022-01-025349-2.png,no_annotation,0.0,0.0,0.0,0.0
34_Geredigeerd-1.png,black,1.0,0.0,20.0,0.597562864666701
34_Geredigeerd-2.png,black,0.0,0.0,4.0,0.0
392._hol_met_magazine_mipim_2017-1.png,no_annotation,0.0,0.0,0.0,0.0
392._hol_met_magazine_mipim_2017-10.png,no_annotation,0.0,1.0,0.0,0.0
392._hol_met_magazine_mipim_2017-13.png,no_annotation,0.0,2.0,0.0,0.0
392._hol_met_magazine_mipim_2017-2.png,no_annotation,0.0,0.0,0.0,0.0
457._Bijlage_bij_nr._458_Themabijeenkomst_landschap_water_eco-15.png,no_annotation,0.0,3.0,0.0,0.0
457._Bijlage_bij_nr._458_Themabijeenkomst_landschap_water_eco-22.png,no_annotation,0.0,0.0,0.0,0.0
457._Bijlage_bij_nr._458_Themabijeenkomst_landschap_water_eco-24.png,no_annotation,0.0,1.0,0.0,0.0
457._Bijlage_bij_nr._458_Themabijeenkomst_landschap_water_eco-3.png,no_annotation,0.0,0.0,0.0,0.0
457._Bijlage_bij_nr._458_Themabijeenkomst_landschap_water_eco-42.png,no_annotation,0.0,1.0,0.0,0.0
457._Bijlage_bij_nr._458_Themabijeenkomst_landschap_water_eco-44.png,no_annotation,0.0,1.0,0.0,0.0
457._Bijlage_bij_nr._458_Themabijeenkomst_landschap_water_eco-47.png,no_annotation,0.0,2.0,0.0,0.0
457._Bijlage_bij_nr._458_Themabijeenkomst_landschap_water_eco-49.png,no_annotation,0.0,2.0,0.0,0.0
457._Bijlage_bij_nr._458_Themabijeenkomst_landschap_water_eco-50.png,no_annotation,0.0,2.0,0.0,0.0
457._Bijlage_bij_nr._458_Themabijeenkomst_landschap_water_eco-7.png,no_annotation,0.0,8.0,0.0,0.0
457._Bijlage_bij_nr._458_Themabijeenkomst_landschap_water_eco-8.png,no_annotation,0.0,6.0,0.0,0.0
46. Organogram De Meervaart-1.png,no_annotation,0.0,0.0,0.0,0.0
462._Bijlage_bij_nr._463-3.png,black,7.0,3.0,14.0,4.176393064082949
462._Bijlage_bij_nr._463-4.png,black,3.0,2.0,10.0,2.1706059130309456
48._RE_Ter_correctie_-_Nieuwsbrief_nr._2_Gebruik_van_code_2-3.png,gray,0.0,0.0,38.0,0.0
521. RE_ De Nieuwe Meervaart 17-10 -1.png,black,2.0,1.0,22.0,1.1808681139406603
5_20171011_verslag_-_projectgroep_gemeente_fca_17_07_geanonimiseerd-3.png,black,3.0,1.0,9.0,2.072711163995761
68.b bericht over afspraak afstemming-1.png,black,3.0,1.0,31.0,1.870627697673819
68.c bericht over afspraak afstemming-1.png,black,1.0,1.0,26.0,0.5323741007194245
751._FW_Stukken_voor_wethouderoverleg_15_januari-1.png,black,3.0,1.0,21.0,1.8417705562638726
773. RE_ Flap college B&W de Meervaart 2_Geredigeerd-1.png,black,0.0,0.0,34.0,0.0
89 FW_ Fietsparkeervoorziening Lijnbaansgracht - Orderbevestiging_2 -1.png,black,0.0,0.0,14.0,0.0
89 FW_ Fietsparkeervoorziening Lijnbaansgracht - Orderbevestiging_2 -2.png,black,0.0,0.0,15.0,0.0
89 FW_ Fietsparkeervoorziening Lijnbaansgracht - Orderbevestiging_2 -3.png,black,2.0,0.0,11.0,1.2571424321441595
89 FW_ Fietsparkeervoorziening Lijnbaansgracht - Orderbevestiging_2 -6.png,black,0.0,0.0,16.0,0.0
89 FW_ Fietsparkeervoorziening Lijnbaansgracht - Orderbevestiging_2 -7.png,black,0.0,0.0,15.0,0.0
89 FW_ Fietsparkeervoorziening Lijnbaansgracht - Orderbevestiging_2 -9.png,no_annotation,0.0,0.0,0.0,0.0
94.46 indeling terras-1.png,no_annotation,0.0,0.0,0.0,0.0
944. korte terugkoppeling sessie team GO_Geredigeerd-1.png,black,1.0,1.0,15.0,0.7514428626394767
Afschift besluit Wob-verzoek-10.png,black,0.0,0.0,1.0,0.0
Afschift besluit Wob-verzoek-4.png,black,0.0,0.0,1.0,0.0
Afschift besluit Wob-verzoek-6.png,black,0.0,0.0,2.0,0.0
Afschift besluit Wob-verzoek-7.png,black,0.0,0.0,1.0,0.0
Beantwoording wob-verzoek communicatie tussen PNH en gem. Heemstede inzake Cruquiusbrug Heemstede-3.png,gray,0.0,0.0,4.0,0.0
